title,year,imdbid,id,rating
Passage de Venus,1874,3155794,9602,0
La Rosace Magique,1877,14495706,9804,0
Sallie Gardner at a Gallop,1878,2221420,9603,0
Le singe musicien,1878,12592084,9806,0
Athlete Swinging a Pick,1881,7816420,9816,0
Buffalo Running,1883,5459794,9831,0
L&#39;homme machine,1885,8588366,9832,0
Man Walking Around the Corner,1887,2075247,9614,0
Cockatoo Flying,1887,8133192,9836,0
Child Carrying Flowers to Woman,1887,7411790,9837,0
Jumping Over a Man&#39;s Back-Leapfrog,1887,7541160,9838,0
Man Riding Jumping Horse,1887,7754902,9841,0
Baboon Climbing a Pole,1887,8361552,9902,0
Roundhay Garden Scene,1888,0392728,8040,0
Accordion Player,1888,1758563,9615,0
Traffic Crossing Leeds Bridge,1888,0343112,9616,0
Pferd und Reiter Springen uber ein Hindernis,1888,3274100,9675,0
Brighton Street Scene,1888,2116853,9947,0
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0466876,9619,0
Hyde Park Corner,1889,2116898,9945,0
"Monkeyshines, No. 1",1890,0361921,9617,0
"Monkeyshines, No. 2",1890,0416046,9618,0
London&#39;s Trafalgar Square,1890,1202028,9621,0
"Monkeyshines, No. 3",1890,0416047,9678,0
Mosquinha,1890,5285442,9946,0
"Traffic in King&#39;s Road, Chelsea",1890,2116968,9944,0
Dickson Greeting,1891,0241373,9626,0
Men Boxing,1891,0241715,9628,0
Newark Athlete,1891,0241763,9629,0
"Duncan and Another, Blacksmith Shop",1891,0241393,9792,0
Duncan Smoking,1891,0241392,9793,0
Duncan or Devonald with Muslin Cloud,1891,0241394,9794,0
"Monkey and Another, Boxing",1891,0241735,9795,0
Je vous aime,1891,3201916,9800,0
La vague,1891,3508566,9802,0
Two Fencers,1891,5447082,9943,0
Pauvre Pierrot,1892,0000003,5433,0
Un bon bock,1892,0000004,9631,0
Le clown et ses chiens,1892,0000002,9632,0
Fencing,1892,0241446,9951,0
Le prince de Galles,1892,0234520,9952,0
Wrestling,1892,0242148,9948,0
Boxing,1892,0241266,9986,0
Blacksmith Scene,1893,0000005,9583,0
Annabelle Butterfly Dance,1894,0229217,9636,0
Edison Kinetoscope Records: Annie Oakley,1894,8419312,9642,0
Autour d&#39;une cabine,1894,0000015,9646,0
"Barbershop, The",1894,0229235,9648,0
Bucking Broncho,1894,0309396,9649,0
Buffalo Dance,1894,0309402,9650,0
Carmencita,1894,0000001,9651,0
Edison Kinetoscopic Record of a Sneeze,1894,0000008,9652,0
Dickson Experimental Sound Film,1894,0177707,9654,0
Chinese Opium Den,1894,0000006,9655,0
Corbett and Courtney Before the Kinetograph,1894,0000007,9656,0
Falling Cat,1894,2049440,9662,0
"Glenroy Bros., No. 2",1894,0312728,9663,0
Glenroy Brothers,1894,0256782,9664,0
Leonard-Cushing Fight,1894,0203646,9668,0
"Luis Martinetti, Contortionist",1894,0277115,9671,0
Sandow No. 2,1894,2161519,9673,0
Sandow No. 3,1894,2161521,9674,0
Reve au coin du feu,1894,0413219,9681,0
Miss Jerry,1894,0000009,9779,0
Tables Turned on the Gardener,1895,0000014,5444,0
"Execution of Mary, Queen of Scots, The",1895,0132134,6200,0
Akrobatisches Potpourri,1895,0000011,9679,1
Annabelle Serpentine Dance,1895,0154152,9683,0
Italienischer Bauerntanz,1895,0000017,9714,0
Baby&#39;s Dinner,1895,0000029,9715,1
Billy Edwards and the Unknown,1895,0477266,9766,0
Blacksmith Scene,1895,0000022,9767,0
Barque sortant du port,1895,0000016,9787,0
"House of the Devil, The",1896,0000091,4982,0
Une nuit terrible,1896,0000131,5406,0
La fee aux choux,1896,0223341,5445,0
"Arrival of a Train, The",1896,0000012,6199,0
Sandow,1896,1428455,9672,0
Alger: rue Bab-Azoun,1896,1672718,9949,0
Lassage des boeufs pour le labour,1896,1736599,9950,0
Lancement d&#39;un navire,1896,0222137,9901,0
Bataille de neige,1897,0000041,9328,0
Four Heads Are Better Than One,1898,0135696,4978,0
"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0000211,5410,0
"Temptation of St. Anthony, The",1898,0224240,5411,0
A Turn of the Century Illusionist,1899,0000246,4994,0
Cinderella,1899,0000230,5914,3
Sherlock Holmes Baffled,1900,0291476,1594,0
"Enchanted Drawing, The",1900,0000300,4271,0
Grandma&#39;s Reading Glass,1900,0000304,4343,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0000272,4344,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0257654,4345,0
Hamlet ( Le Duel d&#39;Hamlet),1900,0000306,4346,0
"One-Man Band, The",1900,0135453,4993,0
Grandma Threading Her Needle,1900,0377995,5069,0
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0230746,5072,0
Let Me Dream Again,1900,0000313,5438,0
"Doctor and the Monkey, The",1900,0227438,5446,0
L&#39;homme a la tete en caoutchouc,1901,0000359,4995,0
Reve et realite,1901,0258104,5437,0
Bluebeard,1901,0131934,5500,0
Le voyage dans la lune,1902,0000417,1252,0
Gulliver&#39;s Travels,1902,0229024,5431,0
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0367177,5432,0
Mephistopheles&#39; School of Magic,1902,0000413,5443,0
"Great Train Robbery, The",1903,0000439,1319,0
"Infernal Boiling Pot, The",1903,0135180,5002,0
"Music Lover, The",1903,0000455,5063,0
"Monster, The",1903,0223755,5064,0
"Enchanted Well, The",1903,0189498,5683,0
"Cook in Trouble, The",1904,0215664,5224,0
