description,headquarters,homepage,id,name,origin_country
,"Hollywood, California",https://www.paramountpictures.com,4,Paramount,US
,,,5308,Viacom International,
,,,10211,Alfran Productions,US
,"New York City, New York, USA",,97,Castle Rock Entertainment,US
,"Burbank, California",https://www.warnerbros.com,17,Warner Bros. Entertainment,US
,,,128,Time Warner,
,"San Francisco, California",,536,The Coppola Company,US
,"Mumbai, Maharashtra, India",https://www.yashrajfilms.com,1569,Yash Raj Films,IN
,"Universal City, California",https://amblin.com,56,Amblin Entertainment,US
"Studio Ghibli, Inc. (株式会社スタジオジブリ Kabushiki-gaisha Sutajio Jiburi?) is a Japanese animation and film studio founded in June 1985. The company's logo features the character Totoro (a large forest spirit) from Hayao Miyazaki's film My Neighbor Totoro. It has its headquarters in Koganei, Tokyo.[1] At one time the studio was based in Kichijōji, Musashino, Tokyo.[2] Many anime features created by Studio Ghibli have won the Animage Anime Grand Prix award including: Castle in the Sky in 1986; My Neighbor Totoro in 1988; and Kiki's Delivery Service in 1989. In 2002, Spirited Away won a Golden Bear and an Oscar for Best Animated Feature which remains the only film made outside the English-speaking world to have done so.","Koganei, Tokyo",https://www.ghibli.jp,10342,Studio Ghibli,JP
,"Beverly Hills, California",,60,United Artists,US
,"Beverly Hills, California",http://www.mgm.com/,21,Metro-Goldwyn-Mayer,US
,"Culver City, California",http://www.sonypictures.com/,34,Sony Pictures,US
,,,10212,Orion-Nova Productions,
,"Chiyoda, Tokyo Prefecture",http://www.cwfilms.jp,3756,CoMix Wave Films,JP
,Tokyo,https://www.toho.co.jp,882,TOHO,JP
,,https://ir.kadokawa.co.jp/global,2073,KADOKAWA,JP
,,https://www.jeki.co.jp,8157,East Japan Marketing & Communications,JP
,,https://www.amuse.co.jp/,14602,AMUSE,JP
,,,128617,voque ting,JP
,,,104184,Lawson Entertainment,JP
,,https://www.4kidsentertainmentinc.com/,3035,4Kids Entertainment,US
,"Gangnam, Seoul",http://www.barunsonena.com,4399,Barunson E&A,KR
,"Burbank, California",https://www.dc.com/comics,429,DC Comics,US
,"Burbank, California, United States",http://www.legendary.com/,923,Legendary Pictures,US
,"London, England",,9996,Syncopy,GB
,,,118865,Isobel Griffiths,GB
,"Burbank, California",https://www.warnerbros.com,174,Warner Bros. Pictures,US
,,http://darkwoodsprods.com/,3982,Darkwoods Productions,US
,"Los Angeles, California",https://www.miramax.com,14,Miramax,US
,"Los Angeles, California",,59,A Band Apart,US
,,,216,Jersey Films,US
"Columbia Pictures Industries, Inc. (CPII) is an American film production and distribution company. Columbia Pictures now forms part of the Columbia TriStar Motion Picture Group, owned by Sony Pictures Entertainment, a subsidiary of the Japanese conglomerate Sony. It is one of the leading film companies in the world, a member of the so-called Big Six. It was one of the so-called Little Three among the eight major film studios of Hollywood's Golden Age.","Culver City, California",http://www.sonypictures.com,5,Columbia Pictures,US
,"Culver City, California",http://www.sonypicturesanimation.com/,2251,Sony Pictures Animation,US
,,,77973,Lord Miller,US
,"Culver City, California",,84041,Pascal Pictures,US
,"Los Angeles, California",,14439,Arad Productions,US
,"Burbank, California",https://www.warnerbros.com/company/divisions/motion-pictures,12,New Line Cinema,US
,Wellington,,11,WingNut Films,NZ
,"Berkeley, California",http://www.zaentz.com,5237,The Saul Zaentz Company,US
,,,21920,The Steve Tisch Company,
,,,412,Wendy Finerman Productions,
,Roma,,7508,PEA,IT
,,,42498,Arturo González Producciones Cinematográficas,ES
,Munich,https://constantin.film,47,Constantin Film,DE
,"Beverly Hills, California",http://www.winklerfilms.com,8880,Winkler Films,US
,"Burbank, California",https://www.cartoonnetworkstudios.com/,7899,Cartoon Network Studios,US
,"Atlanta, Georgia",,6760,Williams Street,US
,,,7110,Les Films Ariane,FR
,,,119518,Cristaldifilm,
,Rome,http://www.rai.it,1583,RAI,IT
,,,356,TF1 Films Production,FR
,,,185850,Forum Picture,
,Rome,,370,Melampo Cinematografica,IT
,,https://www.passionflix.com,92153,PassionFlix,US
,,,130588,MTJJ,
,,,130591,Beijing Guangying Gongchang Wenhua Chuanbo,
,,,130592,Dream Castle,
,,,130593,Heyi Capital,
,天津市河东区,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%AF%92%E6%9C%A8%E6%98%A5%E5%8D%8E%E5%8A%A8%E7%94%BB%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/23861796,152035,"Beijing Hanmu Chunhua Animation Technology Co., Ltd.",CN
,,,130589,Beijing Jiyin Yinghua,
,,,10717,Shamley Productions,US
,"West Hollywood, California, USA",http://www.newregency.com/,508,Regency Enterprises,US
,"Los Angeles, California, US",,711,Fox 2000 Pictures,US
,,,20555,Taurus Film,DE
,,,54051,Atman Entertainment,
,,,54052,Knickerbocker Films,US
,"Los Angeles, California",http://linsonco.com,4700,The Linson Company,US
,"Century City, California, USA",http://www.foxmovies.com/,25,20th Century Fox,US
,,http://a1p.jp,13113,A-1 Pictures,JP
,,https://www.aniplex.co.jp/,2883,Aniplex,JP
,,,17024,Videocine S.A. de C.V.,MX
,,,96929,Agencia SHA,
,Mexico City,http://alebrijeproducciones.com.mx,12487,Alebrije Producciones,MX
,"Hollywood, California",,7965,The Ladd Company,US
,,,10214,Embassy International Pictures,US
,,,218,Rafran Cinematografica,IT
,,,1256,PSO,US
,"São Paulo, São Paulo",http://www.o2filmes.com,345,O2 Filmes,BR
,"Rio de Janeiro, Rio de Janeiro",,346,VideoFilmes,BR
,Paris,http://www.wildbunch.biz,856,Wild Bunch,FR
,,,11445,Hank Levine Film,
,"Rio de Janeiro, Rio de Janeiro",http://globofilmes.globo.com/en/,13969,Globo Filmes,BR
,,,11793,Lumière,
