budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
6000000,http://www.thegodfather.com/,238,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",133.253,1972-03-14,245066411,175,Released,An offer you can't refuse.,The Godfather,false,8.711,18298
25000000,,278,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",108.142,1994-09-23,28341469,142,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,false,8.702,24210
13000000,,240,tt0071562,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",78.339,1974-12-20,102600000,202,Released,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather Part II,false,8.593,11041
13200000,,19404,tt0112870,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",34.731,1995-10-20,100000000,190,Released,"Come Fall In love, All Over Again..",Dilwale Dulhania Le Jayenge,false,8.573,4184
22000000,http://www.schindlerslist.com/,424,tt0108052,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,58.132,1993-12-15,321365567,195,Released,"Whoever saves one life, saves the world entire.",Schindler's List,false,8.571,14312
19000000,http://movies.disney.com/spirited-away,129,tt0245429,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",86.713,2001-07-20,274925095,125,Released,,Spirited Away,false,8.54,14590
350000,,389,tt0050083,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",45.837,1957-04-10,1000000,97,Released,Life is in their hands. Death is on their minds.,12 Angry Men,false,8.539,7450
0,https://www.funimationfilms.com/movie/yourname/,372058,tt5311514,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",94.218,2016-08-26,357986087,106,Released,"It was almost like seeing something out of a dream, nothing more or less than a breathtaking view.",Your Name.,false,8.52,10070
11363000,https://www.parasite-movie.com/,496243,tt6751668,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",76.196,2019-05-30,257591776,133,Released,Act like you own the place.,Parasite,false,8.515,16062
185000000,https://www.warnerbros.com/movies/dark-knight/,155,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",107.743,2008-07-14,1004558444,152,Released,Welcome to a world without rules.,The Dark Knight,false,8.511,30125
60000000,http://thegreenmile.warnerbros.com/,497,tt0120689,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",79.596,1999-12-10,286801374,189,Released,Miracles do happen.,The Green Mile,false,8.508,15657
8000000,https://www.miramax.com/movie/pulp-fiction/,680,tt0110912,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",78.437,1994-09-10,214179088,154,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,false,8.49,25519
100000000,https://www.acrossthespiderverse.movie,569094,tt9362722,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",1066.694,2023-05-31,665569774,140,Released,It's how you wear the mask that matters.,Spider-Man: Across the Spider-Verse,false,8.482,2505
94000000,http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",84.49,2003-12-01,1118888979,201,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,false,8.478,21890
55000000,https://www.paramountmovies.com/movies/forrest-gump,13,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",66.992,1994-06-23,677387716,142,Released,The world will never be the same once you've seen it through the eyes of Forrest Gump.,Forrest Gump,false,8.479,25016
1200000,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429,tt0060196,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",73.983,1966-12-23,38900000,161,Released,For three men the Civil War wasn't hell. It was practice.,"The Good, the Bad and the Ugly",false,8.476,7552
0,https://videocine.com.mx/peliculas/cuando-sea-joven/,772071,tt12076762,es,Cuando Sea Joven,"70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as ""Maria"" to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.",16.231,2022-09-14,0,115,Released,,Cuando Sea Joven,false,8.468,247
25000000,http://www.warnerbros.com/goodfellas,769,tt0099685,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",58.164,1990-09-12,46835000,145,Released,Three Decades of Life in the Mafia.,GoodFellas,false,8.465,11476
0,,704264,tt11191124,en,Primal: Tales of Savagery,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",72.16,2019-11-21,0,85,Released,,Primal: Tales of Savagery,false,8.435,277
5000000,,11216,tt0095765,it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",37.484,1988-11-17,11990401,124,Released,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,Cinema Paradiso,false,8.461,3838
2000000,,346,tt0047478,ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",34.724,1954-04-26,346300,207,Released,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,Seven Samurai,false,8.5,3138
3700000,,12477,tt0095327,ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.6,1988-04-16,516962,89,Released,,Grave of the Fireflies,false,8.455,4744
20000000,,637,tt0118799,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,45.95,1997-12-20,230098753,116,Released,"An unforgettable fable that proves love, family and imagination conquer all.",Life Is Beautiful,false,8.455,12024
0,https://watch.passionflix.com/watch/fc15dc25-cf48-4d4f-aa8e-9afb032233cc,696374,tt11316854,en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",13.033,2020-05-29,0,122,Released,,Gabriel's Inferno,false,8.453,2350
0,https://luoxiaohei-movie.com/,620249,tt10734928,zh,罗小黑战记,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",13.235,2019-08-27,48045728,102,Released,One Small Spirit Will Determine the Fate of the World.,The Legend of Hei,false,8.453,285
806947,,539,tt0054215,en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",45.219,1960-06-22,0,109,Released,A new—and altogether different—screen excitement!,Psycho,false,8.442,9100
63000000,http://www.foxmovies.com/movies/fight-club,550,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",85.708,1999-10-15,100853753,139,Released,Mischief. Mayhem. Soap.,Fight Club,false,8.436,26820
0,http://doukyuseimovie.com/,372754,tt5526028,ja,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",17.481,2016-02-20,0,61,Released,"Sincerely, Slowly, Falling in Love.",Dou kyu sei – Classmates,false,8.4,315
0,,667257,tt10032342,es,Cosas imposibles,"Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",11.253,2021-06-17,0,88,Released,There are encounters that change your life,Impossible Things,false,8.434,341
30000000,,311,tt0087843,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",29.335,1984-05-23,5500000,229,Released,"Crime, passion and lust for power.",Once Upon a Time in America,false,8.432,4751
0,https://watch.passionflix.com/watch/f299fa17-5a2b-4fee-b53a-a4651747431b,724089,tt13535454,en,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",18.123,2020-07-31,0,105,Released,,Gabriel's Inferno: Part II,false,8.428,1480
3300000,http://cidadededeus.globo.com/,598,tt0317248,pt,Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",37.674,2002-08-30,30641770,130,Released,"If you run, the beast catches you; if you stay, the beast eats you.",City of God,false,8.426,6574
0,,14537,tt0056058,ja,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",21.957,1962-09-15,0,135,Released,The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!,Harakiri,false,8.422,804
3000000,,510,tt0073486,en,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",47.922,1975-11-19,108981275,133,Released,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,false,8.421,9504
0,,761053,tt13535456,en,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,24.347,2020-11-19,0,105,Released,,Gabriel's Inferno: Part III,false,8.411,1022
165000000,http://www.interstellarmovie.net/,157336,tt0816692,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,151.549,2014-11-05,701729206,169,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,false,8.408,31941
90000000,https://www.sonypictures.com/movies/spidermanintothespiderverse,324857,tt4633694,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",249.853,2018-12-06,375464627,117,Released,More than one wears the mask.,Spider-Man: Into the Spider-Verse,false,8.403,13614
0,http://asilentvoice.com.au/,378064,tt5323662,ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",52.497,2016-09-17,30156463,130,Released,Sometimes the answer is as simple as learning to listen.,A Silent Voice: The Movie,false,8.402,3481
24000000,https://howlugokueiga.seesaa.net/,4935,tt0347149,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",84.324,2004-09-09,236049757,119,Released,The two lived there.,Howl's Moving Castle,false,8.401,8476
