movies,production_companies
238,4
238,10211
278,97
240,4
240,536
19404,1569
424,56
129,10342
389,60
389,10212
372058,3756
372058,882
372058,2073
372058,8157
372058,14602
372058,128617
372058,104184
372058,3035
496243,4399
155,429
155,923
155,9996
155,118865
155,174
497,97
497,3982
497,174
680,14
680,59
680,216
569094,5
569094,2251
569094,77973
569094,84041
569094,14439
122,12
122,11
122,5237
13,4
13,21920
13,412
429,60
429,7508
429,42498
429,47
769,8880
704264,7899
704264,6760
11216,7110
11216,119518
11216,1583
11216,356
11216,185850
11216,14
346,882
12477,10342
637,370
637,14
696374,92153
620249,130588
620249,130591
620249,130592
620249,130593
620249,152035
620249,130589
539,10717
550,508
550,711
550,20555
550,54051
550,54052
550,4700
550,25
372754,13113
372754,2883
667257,17024
667257,96929
667257,12487
311,7965
311,10214
311,218
311,174
311,1256
724089,92153
598,345
598,346
598,856
598,11445
598,13969
598,11793
598,14
14537,192
510,286
761053,92153
157336,923
157336,9996
157336,13769
324857,5
324857,77973
324857,84041
324857,2251
324857,14439
378064,5438
378064,86839
378064,59118
378064,9148
378064,22715
378064,192
4935,10342
4935,2752
4935,11847
4935,6755
4935,1780
4935,1779
4935,12518
4935,2
120,12
120,11
120,5237
820067,92437
820067,9148
820067,157471
820067,118286
820067,118502
820067,41861
820067,59118
820067,187769
820067,42196
820067,187770
1891,1
40096,11446
40096,13969
92321,22602
255709,7819
255709,112850
255709,81594
872585,9996
872585,33
872585,507
121,12
121,11
121,5237
423,250
423,208
423,260
423,264
423,266
423,268
423,269
423,355
423,694
423,104
423,6480
423,265
423,2026
995133,183947
995133,11461
995133,3324
244786,2266
244786,3172
244786,32157
244786,24049
244786,11341
244786,58
568332,91410
568332,69922
807,12
807,4286
807,65393
27205,923
27205,9996
27205,174
652837,2849
652837,2073
652837,192
652837,8157
652837,139842
652837,11848
652837,170125
652837,91253
567,10715
567,4
18491,3041
18491,3466
18491,21504
18491,3034
18491,529
18491,1194
18491,5822
18491,113750
599,4
73,12
73,11308
73,924
12493,882
12493,2680
3782,882
274,41
274,55072
533514,5438
533514,86839
533514,9148
533514,31364
533514,136217
533514,6683
533514,155271
533514,155307
914,71975
914,60
128,10342
128,12516
128,2752
128,67681
128,1779
128,6755
128,1778
851644,49096
15804,70884
644479,78456
644479,7062
101,9
101,66743
901,1315
901,60
207,9195
207,10282
207,184460
207,1089
105,33
105,56
630566,174
630566,1757
25237,12617
25237,344
795607,67089
795607,69484
16672,3212
16672,882
283566,4145
447362,907
3082,1315
3082,60
335,4
335,218
335,25287
527641,84409
527641,5490
20334,21
10494,3464
10494,185544
10494,201821
10494,4868
10494,201822
29259,641
29259,534
29259,1826
28,60
28,70
568300,86824
568300,7036
568300,128333
637920,137006
637920,98733
637920,126639
77338,9
77338,6301
77338,7038
77338,7766
77338,8018
77338,22123
77338,104
77338,356
361743,82819
361743,10288
361743,4
315162,521
315162,33
10376,6246
10376,27597
975,60
975,611
670,399
670,7036
670,118802
670,685
299534,420
618344,2785
618344,9993
632632,42811
537061,7899
537061,7899
265177,13839
265177,50488
1585,11770
441130,23948
441130,13351
441130,142984
441130,11776
441130,1898
441130,30280
441130,726
441130,104
441130,1923
441130,11620
441130,142985
441130,89705
441130,32853
299536,420
635302,5887
635302,2883
635302,2918
635302,91520
635302,882
504253,86839
504253,2883
504253,8157
504253,62866
504253,56933
504253,145105
504253,3031
504253,84461
8587,2
8587,171656
508965,29566
508965,101644
897429,69922
897429,164323
797,6181
42269,93145
572154,121589
572154,2883
572154,86839
572154,2073
572154,157002
572154,81418
572154,118502
572154,142186
572154,84461
490132,6735
490132,7
490132,88582
290098,34725
290098,49096
290098,7036
110420,15662
110420,3464
110420,6755
110420,1194
110420,11725
110420,14789
110420,11727
110420,882
24188,1399
24188,12473
24188,12989
575813,35228
575813,140097
575813,140098
575813,7909
575813,140099
575813,152608
575813,152609
5156,1875
667276,9965
667276,204533
556574,89394
556574,122645
556574,150839
556574,122647
556574,2
610892,5438
610892,9148
610892,86839
610892,136217
610892,31364
354912,3
354912,2
522924,333
522924,25
522924,121671
522924,711
522924,1708
694,88
694,11272
694,734
298618,174
298618,152809
298618,170335
298618,128064
346698,82968
346698,437
346698,181486
346698,6220
667538,82819
667538,4
667538,435
667538,6734
667538,114732
667538,38831
667538,2598
447277,2
447277,17021
447277,2527
1040148,33
1040148,521
447365,420
447365,176762
459003,106008
459003,116025
459003,21652
385687,33
385687,333
385687,1225
385687,34530
1076487,198242
455476,11341
455476,5542
678512,90508
1083862,7220
1083862,7164
1083862,140891
1083862,172244
603692,3528
603692,23008
603692,491
603692,264
502356,33
502356,6704
502356,12288
1059638,188079
976573,2
976573,3
808396,2373
808396,16322
808396,162995
805320,11068
805320,25998
805320,119245
805320,13778
900667,5542
900667,2918
900667,5822
900667,3341
900667,155586
900667,12502
900667,173235
900667,1778
254128,12
254128,79
254128,34081
254128,174
921636,878
445651,2575
445651,25
406563,11341
406563,3172
406563,14734
406563,76907
406563,33
1130818,121204
1130818,139740
1130818,204229
1130818,5056
1130818,25954
1130818,142494
1130818,18892
1130818,72408
1070802,121204
1070802,121063
1070802,130900
1070802,1632
423108,12
423108,11565
423108,76907
614479,3172
614479,11341
614479,3287
614479,76907
614479,14734
664767,2785
697843,106544
697843,104576
76600,127928
