movies,production_countries
238,US
278,US
240,US
19404,IN
424,US
129,JP
389,US
372058,JP
496243,KR
155,GB
155,US
497,US
680,US
569094,US
122,NZ
122,US
13,US
429,US
429,IT
429,ES
429,DE
769,US
704264,US
11216,FR
11216,IT
346,JP
12477,JP
637,IT
696374,US
620249,CN
539,US
550,US
372754,JP
667257,MX
311,US
311,IT
598,BR
598,FR
14537,JP
510,US
761053,US
157336,GB
157336,US
324857,US
378064,JP
4935,JP
4935,US
120,NZ
120,US
820067,JP
1891,US
40096,BR
92321,JP
255709,KR
872585,GB
872585,US
121,NZ
121,US
423,FR
423,DE
423,PL
423,GB
995133,GB
995133,US
244786,US
568332,US
807,US
27205,GB
27205,US
652837,JP
567,US
18491,JP
599,US
73,US
12493,JP
3782,JP
274,US
533514,JP
914,US
128,JP
851644,KR
15804,TW
644479,CO
644479,EC
644479,US
101,US
101,FR
901,US
207,US
105,US
630566,US
25237,SU
795607,CN
16672,JP
283566,JP
447362,US
3082,US
335,IT
335,US
527641,US
20334,US
10494,JP
29259,FR
29259,IT
28,US
568300,KR
637920,TR
77338,FR
361743,US
315162,US
10376,IT
975,US
670,KR
299534,US
618344,US
632632,JP
537061,US
265177,CA
1585,US
441130,CN
441130,FR
441130,IE
441130,LU
441130,US
299536,US
635302,JP
504253,JP
8587,US
508965,ES
897429,US
797,SE
42269,IT
572154,JP
490132,US
290098,KR
110420,JP
24188,IT
575813,CN
575813,HK
5156,IT
667276,MX
556574,US
610892,JP
354912,US
522924,US
694,US
298618,US
346698,GB
346698,US
667538,US
447277,US
1040148,US
447365,US
459003,UA
385687,US
455476,JP
455476,US
678512,US
1083862,JP
603692,DE
603692,US
502356,JP
502356,US
1059638,LV
1059638,PL
976573,US
808396,MX
808396,US
805320,ES
805320,US
900667,JP
254128,CA
254128,US
254128,AU
921636,US
445651,US
987507,JP
406563,US
1130818,GB
1130818,US
1070802,US
423108,US
614479,CA
614479,US
664767,US
697843,AT
697843,US
76600,US
954388,CO
1010581,ES
1103825,GB
1036561,US
667717,CN
575264,US
882569,GB
882569,US
47964,US
1075335,GB
890771,US
890771,MX
890771,DO
536437,GB
536437,US
758323,ES
758323,GB
758323,US
713704,IE
713704,NZ
713704,US
396263,JP
841755,US
640146,US
615656,CN
615656,US
986070,US
840326,FI
840326,GB
840326,US
787752,US
204553,HK
204553,KR
594767,US
714669,AU
677179,US
994143,CA
335977,US
917007,US
568124,US
634649,US
993867,US
1150394,MX
934433,US
22620,US
1149947,US
543504,HK
73723,US
856289,CN
1127781,ES
505642,US
436270,US
884605,US
961323,US
8920,US
345940,CN
345940,US
605886,US
675445,US
812225,JP
988078,ES
988078,US
848730,AR
879444,GB
648743,MX
868759,US
534313,CA
496450,CN
496450,FR
842675,CN
804150,US
346364,US
893345,AU
1129956,ZA
893712,JP
17681,JP
17681,US
813477,JP
616747,US
536554,US
860278,US
916224,JP
646389,US
646389,PR
646389,GB
985939,GB
985939,US
552688,US
620705,US
616037,US
617932,US
414906,US
799379,KR
700391,CA
700391,US
1018494,US
796185,BE
796185,FR
796185,DE
796185,ES
695733,JP
675353,JP
675353,US
1012837,CN
19995,US
19995,GB
24428,US
293660,US
118340,US
671,GB
671,US
1726,US
68718,US
603,US
597,US
475557,CA
475557,US
11324,US
106646,US
99861,US
271110,US
49026,US
68721,US
284054,US
76341,AU
76341,US
76341,ZA
284052,US
16869,FR
16869,DE
16869,US
70160,US
315635,US
672,GB
672,US
283995,US
1771,US
297761,US
10195,US
673,GB
673,US
10138,US
284053,US
272,GB
272,US
135397,US
150540,US
674,GB
674,US
22,US
12445,GB
12445,US
11,US
297762,US
14160,US
102899,US
286217,GB
286217,US
140607,US
675,GB
675,US
263115,US
767,GB
767,US
12,US
259316,GB
259316,US
245891,US
12444,GB
12444,US
100402,US
557,US
10681,US
49051,NZ
49051,US
210577,US
585,US
281957,CA
281957,HK
281957,TW
281957,US
862,US
209112,US
98,GB
98,US
37165,US
9806,US
329865,CA
329865,IN
329865,US
76338,US
1930,US
381288,US
383498,US
101299,US
24,US
419430,US
424694,GB
424694,US
205596,GB
205596,US
198663,US
198663,GB
18785,DE
18785,US
808,US
207703,GB
207703,US
2062,US
313369,US
109445,US
374720,FR
374720,NL
374720,GB
374720,US
269149,US
240832,FR
329,US
321612,US
58,US
75656,US
177572,US
131631,CA
131631,US
335983,CN
335983,US
6479,US
299537,US
339403,GB
857,US
1124,GB
1124,US
1892,US
37724,GB
37724,US
49047,GB
49047,US
127585,US
429617,US
72190,MT
72190,GB
72190,US
333339,US
330459,US
181808,US
49521,GB
49521,US
640,US
20352,US
558,US
118,GB
118,US
10193,US
1422,HK
1422,US
120467,DE
120467,US
38,US
77,US
44214,US
752,DE
752,GB
752,US
1893,US
152601,US
285,US
273248,US
122917,NZ
122917,US
500,US
10528,AU
10528,DE
10528,GB
10528,US
12155,US
348,US
348,GB
1865,GB
1865,US
447332,US
559,US
297802,US
393,US
920,US
863,US
1271,BG
1271,CA
1271,US
137113,US
607,US
353486,US
78,US
78,HK
78,GB
1895,US
8966,US
324786,AU
324786,CN
324786,GB
324786,US
62177,US
102651,US
363088,US
87827,CA
87827,TW
87827,GB
87827,US
274870,US
264660,GB
264660,US
102382,US
141052,US
425,US
1894,US
246655,US
57158,NZ
57158,US
335984,CA
335984,HU
335984,MX
335984,ES
335984,GB
335984,US
194662,US
157350,US
466272,CN
466272,GB
466272,US
190859,US
10191,US
260513,US
162,US
49538,US
324552,US
185,GB
185,US
4922,US
218,GB
218,US
165,US
280,FR
280,US
64690,US
68726,US
131634,DE
131634,US
420818,US
168259,US
330457,US
351286,US
337339,US
211672,US
38356,US
91314,US
181812,US
301528,US
420817,US
324852,US
127380,US
507086,US
1148557,KR
93456,US
278927,GB
278927,US
453395,US
438148,US
809,US
1020253,US
779029,CN
779029,HK
8355,US
206647,GB
206647,US
57800,US
328111,US
452557,CN
8373,US
50620,US
758891,CN
602,US
810,US
512200,US
346696,US
166426,US
601,US
353081,US
14161,US
82992,JP
82992,ES
82992,GB
82992,US
217,US
370172,GB
370172,US
591,US
384018,US
10192,US
80321,US
411,GB
411,US
62211,US
615453,CN
504093,CN
604,US
385128,US
50619,US
119450,US
18239,US
1858,US
24021,US
56292,US
277834,US
602666,CN
177677,US
1066298,CN
745,US
49444,US
950,US
338952,GB
338952,US
335797,US
9502,US
8960,US
928123,CN
928123,HK
51497,US
41154,AE
41154,US
82702,US
330,US
615,US
11631,DE
11631,GB
11631,US
335988,US
10527,US
74,US
36557,CZ
36557,DE
36557,GB
36557,US
38757,US
10764,GB
10764,US
49519,US
45243,US
460555,CN
460555,HK
460555,MA
1593,US
1593,GB
