movies,spoken_languages
238,en
238,it
238,la
278,en
240,en
240,it
240,la
240,es
19404,hi
424,de
424,pl
424,he
424,en
129,ja
389,en
372058,ja
496243,en
496243,de
496243,ko
155,en
155,zh
497,fr
497,en
680,en
680,es
680,fr
569094,en
569094,hi
569094,it
569094,es
122,en
13,en
429,it
772071,es
769,it
769,en
704264,en
11216,it
346,ja
12477,ja
637,de
637,en
637,it
637,cs
696374,en
620249,zh
539,en
550,en
372754,ja
667257,es
311,en
311,fr
311,he
311,it
311,yi
598,pt
14537,ja
510,en
761053,en
157336,en
324857,en
324857,ja
324857,es
378064,ja
4935,ja
120,en
820067,ja
1891,en
40096,pt
92321,ja
255709,ko
872585,en
121,en
423,en
423,pl
423,de
423,ru
995133,en
244786,en
568332,en
807,en
27205,en
27205,fr
27205,ja
27205,sw
652837,ja
567,en
18491,ja
599,en
73,en
12493,ja
3782,ja
274,en
533514,ja
914,en
914,eo
128,ja
851644,ko
15804,en
15804,zh
644479,es
101,en
101,fr
101,it
901,xx
207,en
207,la
105,en
630566,en
25237,be
25237,de
25237,ru
795607,zh
16672,ja
283566,ja
447362,en
3082,en
335,en
527641,en
527641,es
527641,fr
20334,en
10494,ja
29259,fr
28,km
28,en
28,fr
28,vi
568300,ko
637920,tr
77338,en
77338,fr
361743,en
315162,en
315162,es
10376,en
10376,fr
10376,it
975,de
975,en
975,la
670,ko
299534,en
299534,ja
299534,xh
618344,en
632632,ja
537061,en
265177,fr
265177,en
1585,en
441130,en
441130,ga
299536,en
299536,xh
635302,ja
504253,ja
8587,en
508965,en
508965,se
897429,en
797,sv
42269,it
572154,ja
490132,ru
490132,it
490132,en
290098,ja
290098,ko
110420,ja
24188,de
24188,it
24188,la
575813,zh
5156,it
667276,es
556574,fr
556574,en
610892,ja
354912,en
354912,es
522924,es
522924,en
522924,it
694,en
298618,en
298618,es
298618,ru
346698,en
667538,qu
667538,es
667538,en
447277,en
1040148,en
447365,en
459003,uk
385687,en
385687,id
385687,it
385687,pt
1076487,en
455476,en
678512,en
678512,es
1083862,en
