also_known_as,birthday,deathday,gender,homepage,id,imdb_id,known_for_department,name,place_of_birth,popularity
"Marlon Brando Jr.,Bud,Марлон Брандо,マーロン・ブランド,말론 브란도,มาร์ลอน แบรนโด,مارلون براندو,马龙·白兰度,მარლონ ბრანდო",1924-04-03,2004-07-01,2,http://www.marlonbrando.com/,3084,nm0000008,Acting,Marlon Brando,"Omaha, Nebraska, USA",16.19
"Аль Пачино,آل باتشينو,艾尔·帕西诺,อัล ปาชิโน,アル・パチーノ,알 파치노,Αλφρέντο Τζέημς ""Αλ"" Πατσίνο,Αλ Πατσίνο,Αλφρέντο Τζέημς Πατσίνο,Alfredo James Pacino,അൽ പച്ചിനോ,ال پاچینو,Ал Пачино,آل پاچینو",1940-04-25,,2,,1158,nm0000199,Acting,Al Pacino,"New York City, New York, USA",42.143
"James Edmund Caan ,Jimmy Caan,Джеймс Каан,詹姆斯·凯恩",1940-03-26,2022-07-06,2,,3085,nm0001001,Acting,James Caan,"The Bronx, New York, USA",23.11
"Robert Selden Duvall,Robert Duval,Robert S. Duvall,로버트 듀발,ロバート・デュヴァル",1931-01-05,,2,,3087,nm0000380,Acting,Robert Duvall,"San Diego, California, USA",23.409
,1933-09-04,1988-12-10,2,,3086,nm0144710,Acting,Richard S. Castellano,"The Bronx, New York, U.S",12.623
"Diane Hall,Ντάιαν Κίτον,黛安·基顿,Даєн Кітон",1946-01-05,,1,,3092,nm0000473,Acting,Diane Keaton,"Los Angeles, California, USA",26.717
Talia Coppola,1946-04-25,,1,,3094,nm0001735,Acting,Talia Shire,"Lake Success, New York, USA",23.51
,1943-12-12,,2,,3095,nm0751625,Acting,Gianni Russo,"New York City, New York, USA",7.409
"Sterling Relyea Walter,Sterling Walter Hayden",1916-03-26,1986-05-23,2,,3088,nm0001330,Acting,Sterling Hayden,"Upper Montclair, New Jersey, USA",16.515
John Marlieb,1907-10-17,1984-05-22,2,,3142,nm0549134,Acting,John Marley,"New York City, New York, USA",6.032
,1910-03-24,1975-04-15,2,,3090,nm0002017,Acting,Richard Conte,"Jersey City, New Jersey, USA",9.839
"Alfredo Lettieri ,Anthony Lettieri ",1928-02-24,1975-10-18,2,,3091,nm0504803,Acting,Al Lettieri,"New York City, New York, USA",13.63
Abraham Charles Vigodah,1921-02-24,2016-01-26,2,,3093,nm0001820,Acting,Abe Vigoda,"New York City, New York, USA",9.188
