id,logo_path,name,origin_country
4,/gz66EfNoYPqHTYI4q9UEN4CbHRc.png,Paramount,US
10211,,Alfran Productions,US
97,/7znWcbDd4PcJzJUlJxYqAlPPykp.png,Castle Rock Entertainment,US
536,,The Coppola Company,US
1569,/lvzN86o3jrP44DIvn4SMBLOl9PF.png,Yash Raj Films,IN
56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US
10342,/eS79pslnoKbWg7t3PMA9ayl0bGs.png,Studio Ghibli,JP
60,/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png,United Artists,US
10212,,Orion-Nova Productions,
3756,/t38uPdbKmyBB8brKKeTFWIwojRz.png,CoMix Wave Films,JP
882,/iDw9Xxok1d9WAM2zFicI8p3khTH.png,TOHO,JP
2073,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png,KADOKAWA,JP
8157,/yHOC2PPmj6j2zzRqwdufCZauFxI.png,East Japan Marketing & Communications,JP
14602,/t9eqx5QCHtu8LxxgYzivqrJAosp.png,AMUSE,JP
128617,,voque ting,JP
104184,,Lawson Entertainment,JP
3035,/oi0rqK6jBfG4TbGuczGlVqFAtPL.png,4Kids Entertainment,US
4399,/7bWmbWfxFNSGTCjLHkHn3UjspZS.png,Barunson E&A,KR
429,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Comics,US
923,/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png,Legendary Pictures,US
9996,/3tvBqYsBhxWeHlu62SIJ1el93O7.png,Syncopy,GB
118865,,Isobel Griffiths,GB
174,/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png,Warner Bros. Pictures,US
3982,/bli7HkPOXOEWsDwDK0W7XXfeUU2.png,Darkwoods Productions,US
14,/m6AHu84oZQxvq7n1rsvMNJIAsMu.png,Miramax,US
59,/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png,A Band Apart,US
216,,Jersey Films,US
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US
2251,/5ilV5mH3gxTEU7p5wjxptHvXkyr.png,Sony Pictures Animation,US
77973,/9y5lW86HnxKUZOFencYk3TIIRCM.png,Lord Miller,US
84041,/nw4kyc29QRpNtFbdsBHkRSFavvt.png,Pascal Pictures,US
14439,,Arad Productions,US
12,/5ThIuO93vsk47oexKTSdfKEr7EC.png,New Line Cinema,US
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ
5237,,The Saul Zaentz Company,US
21920,,The Steve Tisch Company,
412,,Wendy Finerman Productions,
7508,,PEA,IT
42498,,Arturo González Producciones Cinematográficas,ES
47,/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png,Constantin Film,DE
8880,/fE7LBw7Jz8R29EABFGCvWNriZxN.png,Winkler Films,US
7899,/uYMD8NPD7Eph0cFd1WJZJrot1Fb.png,Cartoon Network Studios,US
6760,/h3syDHowNmk61FzlW2GPY0vJCFh.png,Williams Street,US
7110,,Les Films Ariane,FR
119518,,Cristaldifilm,
1583,/6EFUenZrAK7IBbirooJ4ZLzJpJ5.png,RAI,IT
356,/tSJvuFaLIp7l0ONLUiAHA61GbXu.png,TF1 Films Production,FR
185850,,Forum Picture,
370,,Melampo Cinematografica,IT
92153,/psjvYkjjgAPtS8utnFYDM8t8yi7.png,PassionFlix,US
130588,,MTJJ,
130591,,Beijing Guangying Gongchang Wenhua Chuanbo,
130592,,Dream Castle,
130593,,Heyi Capital,
152035,/fEhyKTooI8sWGZ3vbLY0Bt8nskz.png,"Beijing Hanmu Chunhua Animation Technology Co., Ltd.",CN
130589,,Beijing Jiyin Yinghua,
10717,,Shamley Productions,US
508,/7cxRWzi4LsVm4Utfpr1hfARNurT.png,Regency Enterprises,US
711,/tEiIH5QesdheJmDAqQwvtN60727.png,Fox 2000 Pictures,US
20555,/hD8yEGUBlHOcfHYbujp71vD8gZp.png,Taurus Film,DE
54051,,Atman Entertainment,
54052,,Knickerbocker Films,US
4700,/A32wmjrs9Psf4zw0uaixF0GXfxq.png,The Linson Company,US
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US
13113,/xV5tPYKZhP2Ko9dOh5A3FahuKsx.png,A-1 Pictures,JP
2883,/rDYExnBV61jGQnkhVVrPN4Yl7O1.png,Aniplex,JP
17024,,Videocine S.A. de C.V.,MX
96929,,Agencia SHA,
12487,/wUKVwhE1CWpgwNcL5x88zcWjJMI.png,Alebrije Producciones,MX
7965,,The Ladd Company,US
10214,,Embassy International Pictures,US
218,,Rafran Cinematografica,IT
1256,,PSO,US
345,/hj2nqoG2F9COm16fqvM0YpY3jL4.png,O2 Filmes,BR
346,/ymwuRMQkrQojx55MeMO861Rdecz.png,VideoFilmes,BR
856,/z0vTTWBhZggM09oZWSY3hbXgPKv.png,Wild Bunch,FR
11445,,Hank Levine Film,
